2025-08-21 17:00:41 - ERROR - test - Error in price loop: 
2025-08-21 17:00:41 - ERROR - test - Fatal WebSocket error: Cannot call "send" once a close message has been sent.
2025-08-21 17:41:16 - ERROR - asyncio - Task was destroyed but it is pending!
task: <Task pending name='Task-8' coro=<WebSocketServerProtocol.handler() running at C:\Users\bdora\AppData\Local\Programs\Python\Python312\Lib\site-packages\websockets\legacy\server.py:236> wait_for=<Future pending cb=[shield.<locals>._outer_done_callback() at C:\Users\bdora\AppData\Local\Programs\Python\Python312\Lib\asyncio\tasks.py:922, Task.task_wakeup()]>>
2025-08-21 17:41:16 - ERROR - asyncio - Task was destroyed but it is pending!
task: <Task pending name='Task-11' coro=<WebSocketCommonProtocol.transfer_data() running at C:\Users\bdora\AppData\Local\Programs\Python\Python312\Lib\site-packages\websockets\legacy\protocol.py:945> wait_for=<Future pending cb=[Task.task_wakeup()]> cb=[Task.task_wakeup()]>
2025-08-21 17:41:16 - ERROR - asyncio - Task was destroyed but it is pending!
task: <Task pending name='Task-12' coro=<WebSocketCommonProtocol.keepalive_ping() running at C:\Users\bdora\AppData\Local\Programs\Python\Python312\Lib\site-packages\websockets\legacy\protocol.py:1234> wait_for=<Future pending cb=[Task.task_wakeup()]>>
2025-08-21 17:41:16 - ERROR - asyncio - Task was destroyed but it is pending!
task: <Task pending name='Task-13' coro=<WebSocketCommonProtocol.close_connection() running at C:\Users\bdora\AppData\Local\Programs\Python\Python312\Lib\site-packages\websockets\legacy\protocol.py:1279> wait_for=<Task pending name='Task-11' coro=<WebSocketCommonProtocol.transfer_data() running at C:\Users\bdora\AppData\Local\Programs\Python\Python312\Lib\site-packages\websockets\legacy\protocol.py:945> wait_for=<Future pending cb=[Task.task_wakeup()]> cb=[Task.task_wakeup()]>>
2025-08-21 17:41:16 - ERROR - asyncio - Task was destroyed but it is pending!
task: <Task pending name='Task-9' coro=<WebSocketProtocol.run_asgi() running at C:\Users\bdora\AppData\Local\Programs\Python\Python312\Lib\site-packages\uvicorn\protocols\websockets\websockets_impl.py:244> wait_for=<Future pending cb=[Task.task_wakeup()]> cb=[WebSocketProtocol.on_task_complete()]>
2025-08-21 18:14:45 - ERROR - app.utils.price_fetcher - Attempt 1/3 failed for GOLD: None/GOLD
2025-08-21 18:14:45 - ERROR - app.utils.price_fetcher - Attempt 1/3 failed for SILVER: None/SILVER
2025-08-21 18:14:47 - ERROR - app.utils.price_fetcher - Attempt 2/3 failed for GOLD: None/GOLD
2025-08-21 18:14:47 - ERROR - app.utils.price_fetcher - Attempt 2/3 failed for SILVER: None/SILVER
2025-08-21 18:14:51 - ERROR - app.utils.price_fetcher - Attempt 3/3 failed for SILVER: None/SILVER
2025-08-21 18:14:51 - ERROR - app.utils.price_fetcher - Attempt 3/3 failed for GOLD: None/GOLD
2025-08-21 18:15:00 - ERROR - app.utils.price_fetcher - Attempt 1/3 failed for GOLD: None/GOLD
2025-08-21 18:15:00 - ERROR - app.utils.price_fetcher - Attempt 1/3 failed for SILVER: None/SILVER
2025-08-21 18:15:02 - ERROR - app.utils.price_fetcher - Attempt 2/3 failed for GOLD: None/GOLD
2025-08-21 18:15:02 - ERROR - app.utils.price_fetcher - Attempt 2/3 failed for SILVER: None/SILVER
2025-08-21 18:15:06 - ERROR - app.utils.price_fetcher - Attempt 3/3 failed for SILVER: None/SILVER
2025-08-21 18:15:06 - ERROR - app.utils.price_fetcher - Attempt 3/3 failed for GOLD: None/GOLD
2025-08-21 18:15:07 - ERROR - app.utils.price_fetcher - Attempt 1/3 failed for GOLD: None/GOLD
2025-08-21 18:15:07 - ERROR - app.utils.price_fetcher - Attempt 1/3 failed for SILVER: None/SILVER
2025-08-21 18:15:09 - ERROR - app.utils.price_fetcher - Attempt 2/3 failed for GOLD: None/GOLD
2025-08-21 18:15:09 - ERROR - app.utils.price_fetcher - Attempt 2/3 failed for SILVER: None/SILVER
2025-08-21 18:15:13 - ERROR - app.utils.price_fetcher - Attempt 3/3 failed for SILVER: None/SILVER
2025-08-21 18:15:13 - ERROR - app.utils.price_fetcher - Attempt 3/3 failed for GOLD: None/GOLD
2025-08-21 18:15:21 - ERROR - app.utils.price_fetcher - Attempt 1/3 failed for GOLD: None/GOLD
